[01/Feb/2025:04:49:42 +0000] - 502 502 - GET http openweb.local "/" [Client 172.18.0.1] [Length 154] [Gzip -] [Sent-to open-web-ui] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15" "http://127.0.0.1:81/"
[01/Feb/2025:04:49:42 +0000] - 502 502 - GET http openweb.local "/favicon.ico" [Client 172.18.0.1] [Length 154] [Gzip -] [Sent-to open-web-ui] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15" "http://openweb.local/"
[01/Feb/2025:04:49:51 +0000] - 502 502 - GET http openweb.local "/" [Client 172.18.0.1] [Length 154] [Gzip -] [Sent-to open-web-ui] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15" "-"
[01/Feb/2025:04:54:56 +0000] - 502 502 - GET http openweb.local "/" [Client 172.18.0.1] [Length 154] [Gzip -] [Sent-to open-web-ui] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15" "http://127.0.0.1:81/"
[01/Feb/2025:04:56:46 +0000] - 200 200 - GET http openweb.local "/" [Client 172.18.0.1] [Length 2216] [Gzip 2.97] [Sent-to open-web-ui] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15" "http://127.0.0.1:81/"
[01/Feb/2025:04:56:46 +0000] - 200 200 - GET http openweb.local "/favicon/site.webmanifest" [Client 172.18.0.1] [Length 452] [Gzip -] [Sent-to open-web-ui] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15" "http://openweb.local/"
[01/Feb/2025:04:56:46 +0000] - 200 200 - GET http openweb.local "/_app/immutable/chunks/entry.DJ9E2mXY.js" [Client 172.18.0.1] [Length 29675] [Gzip -] [Sent-to open-web-ui] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15" "http://openweb.local/"
[01/Feb/2025:04:56:46 +0000] - 200 200 - GET http openweb.local "/_app/immutable/chunks/scheduler.BXITcVIL.js" [Client 172.18.0.1] [Length 10985] [Gzip -] [Sent-to open-web-ui] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15" "http://openweb.local/"
[01/Feb/2025:04:56:46 +0000] - 200 200 - GET http openweb.local "/_app/immutable/chunks/index.CMgO2_ru.js" [Client 172.18.0.1] [Length 1037] [Gzip -] [Sent-to open-web-ui] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15" "http://openweb.local/"
[01/Feb/2025:04:56:46 +0000] - 200 200 - GET http openweb.local "/_app/immutable/entry/start.BzWxSc_I.js" [Client 172.18.0.1] [Length 111] [Gzip -] [Sent-to open-web-ui] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15" "http://openweb.local/"
[01/Feb/2025:04:56:46 +0000] - 200 200 - GET http openweb.local "/_app/immutable/entry/app.CXraKKN5.js" [Client 172.18.0.1] [Length 20581] [Gzip -] [Sent-to open-web-ui] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15" "http://openweb.local/"
