172.21.0.13 - - [10/Jan/2022:19:15:44 +0000] "GET / HTTP/1.1" 200 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "-"
172.21.0.13 - - [10/Jan/2022:19:15:44 +0000] "GET /api/navigation/global HTTP/1.1" 404 59 "http://sonarqube.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "-"
172.21.0.13 - - [10/Jan/2022:19:15:44 +0000] "GET /api/l10n/index?locale=en-GB&ts=2022-01-10T19%3A08%3A19%2B0000 HTTP/1.1" 200 - "http://sonarqube.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "-"
172.21.0.13 - - [10/Jan/2022:19:15:45 +0000] "GET /api/system/status HTTP/1.1" 200 82 "http://sonarqube.local/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "-"
172.21.0.13 - - [10/Jan/2022:19:15:51 +0000] "GET /api/system/status HTTP/1.1" 200 82 "http://sonarqube.local/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "-"
172.21.0.13 - - [10/Jan/2022:19:15:57 +0000] "GET /api/system/status HTTP/1.1" 200 82 "http://sonarqube.local/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "-"
172.21.0.13 - - [10/Jan/2022:19:16:04 +0000] "GET /api/system/status HTTP/1.1" 200 82 "http://sonarqube.local/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "-"
172.21.0.13 - - [10/Jan/2022:19:16:11 +0000] "GET /api/system/status HTTP/1.1" 200 82 "http://sonarqube.local/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "-"
172.21.0.13 - - [10/Jan/2022:19:16:18 +0000] "GET /api/system/status HTTP/1.1" 200 82 "http://sonarqube.local/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "-"
172.21.0.13 - - [10/Jan/2022:19:16:25 +0000] "GET /api/system/status HTTP/1.1" 200 76 "http://sonarqube.local/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5Fa5QUJlmweWWYAAAA"
172.21.0.13 - - [10/Jan/2022:19:16:28 +0000] "GET / HTTP/1.1" 200 - "http://sonarqube.local/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5Fa5QUJlmweWWYAAAB"
172.21.0.13 - - [10/Jan/2022:19:16:28 +0000] "GET /api/l10n/index?locale=en-GB&ts=2022-01-10T19%3A15%3A44%2B0000 HTTP/1.1" 304 - "http://sonarqube.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5Fa5QUJlmweWWYAAAC"
172.21.0.13 - - [10/Jan/2022:19:16:28 +0000] "GET /api/users/current HTTP/1.1" 401 - "http://sonarqube.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5Fa5QUJlmweWWYAAAE"
